UCN_NO,CHASSIS,SERVICE_TYPE,VEH_DIS_DT,WERKS,MATNR,KUNNR,PRODUCT_TYPE,KMS_FROM,KMS_TO,DAYS_LIMIT_FROM,DAYS_LIMIT_TO,CREATED_ON,CREATED_AT,STATUS,REMARKS
AA02567,MD2A18AZ7DWC01925,3,30.06.2013,WA01,00DZ103W,10202,3700DZFS,1,15000,1,260,23.05.2014,7:15:02,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA03365,MD2A18AZ8DRC00071,1,25.06.2013,PT11,00DZ103W,10086,3700DZFS,1,2000,1,60,23.05.2014,7:15:06,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA14095,MD2A18AZXDRC89738,1,17.06.2013,PT11,00DZ103F,10162,3700DZFS,1,2000,1,60,23.05.2014,7:15:52,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA15369,MD2A18AZXDWC02163,1,13.06.2013,WA01,00DZ103W,10401,3700DZFS,1,2000,1,60,23.05.2014,7:16:06,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA15968,MD2A22EZ0DCC39115,2,02.06.2013,CH01,00PD014K,10274,3700PDFS,1,8000,1,260,23.05.2014,7:18:22,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA18039,MD2A22EZXDCC41163,2,12.06.2013,CH01,00PD014M,10192,3700PDFS,1,8000,1,260,23.05.2014,7:16:41,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA18255,MD2A36FZ2DCC89422,3,02.06.2013,CH01,00JL025Q,10677,3700JLFS,1,15000,1,260,23.05.2014,7:16:45,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA18777,MD2A36FZ9DCC89739,1,08.06.2013,CH01,00JL025N,10479,3700JLFS,1,2000,1,60,23.05.2014,7:16:50,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA35386,MD2A11CZ2EWB31708,1,17.05.2014,WA01,00DH152V,12029,3700DHFS,1,2000,1,60,23.05.2014,7:18:41,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA38416,MD2A18AZ4EWB14632,3,16.05.2014,WA01,00DZ104G,10375,3700DZFS,1,15000,1,260,23.05.2014,7:12:24,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA43101,MD2A11CZ1DCB67440,2,21.05.2013,CH01,00DH155G,10400,3700DHFS,1,8000,1,260,23.05.2014,7:12:05,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA49496,MD2A18AZ1EWB00123,2,17.05.2014,WA01,00DZ104G,11411,3700DZFS,1,8000,1,260,23.05.2014,7:18:47,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA50211,MD2A18AZ4EWB14677,2,18.05.2014,WA01,00DZ104G,10432,3700DZFS,1,8000,1,260,23.05.2014,7:19:08,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA50520,MD2A11CZXECB87901,3,19.05.2014,CH01,00DH152V,11690,3700DHFS,1,15000,1,260,23.05.2014,7:19:10,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA52706,MD2A18AZ1EWB01496,1,21.05.2014,WA01,00DZ104G,10694,3700DZFS,1,2000,1,60,23.05.2014,7:19:59,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA67107,MD2A11CZ0EWB34042,2,21.05.2014,WA01,00DH152V,10760,3700DHFS,1,8000,1,260,23.05.2014,7:19:54,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA73394,MD2A11CZ2DCC96609,2,11.06.2013,CH01,00DH155F,11208,3700DHFS,1,8000,1,260,23.05.2014,7:12:32,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA77305,MD2A18AZ1DWB18961,2,26.05.2013,WA01,00DZ103W,11457,3700DZFS,1,8000,1,260,23.05.2014,7:12:10,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA83201,MD2A11CZ7DCC08959,3,29.06.2013,CH01,00DH155J,10836,3700DHFS,1,15000,1,260,23.05.2014,7:12:46,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA85007,MD2A18AZ3DRC94389,2,19.06.2013,PT11,00DZ103W,10203,3700DZFS,1,8000,1,260,23.05.2014,7:14:27,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA85088,MD2A18AZ3DRC95087,2,20.06.2013,PT11,00DZ104G,10759,3700DZFS,1,8000,1,260,23.05.2014,7:14:27,,Data is not updated into GladMinds Server. Please contact GladMinds team
AA85814,MD2A11CZ8DCC88577,3,18.06.2013,CH01,00DH155F,10076,3700DHFS,1,15000,1,260,23.05.2014,7:17:20,,Data is not updated into GladMinds Server. Please contact GladMinds team
