ASM ID Association,Distributor ID,Distributor Name,Distributor Contact,Dist Mail,Dist Mobile Number,City
ASM0011,15666,SAI SERVICE AGENCY,,,,VASAI EAS
ASM0011,15672,A.MANILAL AGENCY    ,,,,TURBHE - N
ASM0011,15673,ESKAY AUTOMOTIVE    ,,,,AURANGABAD
ASM0011,15682,NITIN SCOOTER WORKS ,,,,KOLHAPUR  
ASM0011,15688,SAI SERVICE STATION ,,,,PUNE      
ASM0011,15695,SAI,,,,PUNE      
ASM0011,15725,JANUS AUTO AGENCY,,,,INDORE
ASM004    ,15670,AUTO HOUSE(HUBLI) ,,,,HUBLI     
ASM005,15456,SUPREME AUTO DEALERS,,,,SHIMOGA   
ASM005,15576,SUPREME MOTORS      ,,,,BANGALORE 
ASM005,15706,SUPREME MOTORS      ,,,,MYSORE
ASM005,15577,SUPREME MOTORS      ,,,,MANGALORE 
ASM005,15348,K.V.R.MOTORS        ,,,,CALICUT   
ASM005,15617,KVR Vehicles        ,,,,KANNUR
ASM005,15587,KALLINGAL AUTOMOBILE,,,,NEDUMANGAD
ASM005,15584,SARATHY MOTORS      ,,,,QUILON    
ASM005,15671,SARATHY AUTOMOTIVE  ,,,,THRISSUR  
ASM0010 ,15461,VARUN MOTORS        ,,,,VISHAKHAPA
ASM0010,15580,SRI SHYAM AGENCIES  ,,,,HYDERABAD 
ASM0010,15692,VENKATESHWARA AUTO A,,,,HYDERABAD 
ASM0010,15696,SRI KRISHNA ENTERPRI,,,,HYDERABAD 
ASM0010,15588,BAKSHI AUTOMOTIVES  ,,,,VIJAYWADA 
ASM0010,15711,LPF ,,,,VIJAYWADA 
ASM0010,15687,VENKATESHWARA AUTO A,,,,WARANGAL  
ASM009  ,15590,KRISHNASHRAY AUTOMOBILES,,,,VADODARA
ASM009,15641,KRISHNASHRAY AUTOMOBILES,,,,SURAT
ASM009,15524,MANAN AUTO SPARES,,,,AHMEDABAD
ASM009,15541,SHIVAM AUTO SPARES,,,,AHMEDABAD
ASM009,15661,SHUBHAM AUTO AGENCIES,,,,JAIPUR
ASM008,15658,ANSHUMAN AUTO IMPEX PVT LTD.,,,,NEW DELHI
ASM008,15660,BGA AGENCY,,,,NEW DELHI
ASM008,15659,GSM AUTO SPARES PVT.LTD.,,,,NEW DELHI
ASM008,15669,SAI BAJAJ,,,,JAMMU
ASM008,15703,GSM Auto Impex,,,,Gurgaon
ASM008,15710,K.G Auto Co.,,,,Mohali
ASM007,15691,SRI SHYAM MOTORS,,,,ROURKELA
ASM007,15657,AUTO RIDER,,,,GUAHATI
ASM007,15675,AUTO RIDER,,,,IMPHAL
ASM007,15677,AUTO RIDER,,,,AGARTALA
ASM007,15681,H.M. AUTOMOTIVE,,,,Kolkata
ASM007,15709,Ganapati Distributor,,,,Kolkata
ASM007,15704,Motor Spares,,,,Jamshedpur
