Part No,Desc,Type,Category ,Segment,Model,Supplier
24171136,HUB FRONT WHEEL,,3W,,2S,
24171063,SHOCK ABS RR 4S PETR,,3W,,2S,
24171137,SHOCK ABSORBER FR,,3W,,2S,
24171094,SHOCK ABSORBER RR RE,,3W,,2S,
AP171003,SHOCK ABSORBER FRONT,,3W,,2S,
24151268,BRAKE SHOE KIT (FL),,3W,,2S,
AE101019,COVER CLUTCH,,3W,,2S,
24151058,CABLE HAND BRAKE FR,,3W,,2S,
24130105,BEARING  BALL,,3W,,2S,
24191072,CABLE ACCELERATOR RE,,3W,,2S,
24191075,CABLE GEAR GREY RE 2,,3W,,2S,
24101629,CYL BL PIST ASSY,,3W,,2S,
24171118,AXLE ASSLY REAR WHEE,,3W,,2S,
24201277,REGULATOR WITH CAPAC,,3W,,2S,
24151110,RIM WHEEL,,3W,,2S,
AE121006,CARBURETTOR  UCAL,,3W,,2S,
24101557,GEAR ASSY MULTIPLE,,3W,,2S,
24101054,GEAR MULTIPLE,,3W,,2S,
AP151019,DRUM BRAKE WITH STUD,,3W,,2S,
AP121025,AIR COMPRESSOR,,3W,,2S,
24160913,BED RUBBER,,3W,,2S,
24131072,YOKE ROD,,3W,,2S,
52AB0098,FR.MUDGUARD,,3W,,2S,
52210040,SIDE MUDGUARD,,3W,,2S,
22151106,DRUM,,3W,,2S,
AB201072,H.L.ASSY,,3W,,2S,
AL171031,SHOCK ABSORBER RR GC,,3W,,DIESEL,
BA171009,SHOCK ABSORBER RR GC,,3W,,DIESEL,
36BB0012,KIT PISTON RING KIT ,,3W,,DIESEL,
BB191031,CABLE CLUTCH,,3W,,DIESEL,
BA102150,RING SET  PISTON GC ,,3W,,DIESEL,
AL121062,ELEMENT AIR FILTER,,3W,,DIESEL,
BA132007,BEARING CLUTCH,,3W,,DIESEL,
BA122192,ELEMENT ASSLY,,3W,,DIESEL,
BH161204,CABLE CLUTCH,,3W,,DIESEL,
BA102113,CARTRIDGE FILTER OIL,,3W,,DIESEL,
BA191027,CABLE CLUTCH FE RE D,,3W,,DIESEL,
AL191035,CABLE ASSLY COMPL,,3W,,DIESEL,
BH161224,CABLE ASSLY DECOMP R,,3W,,DIESEL,
AL191011,CABLE CLUTCH GC 1000,,3W,,DIESEL,
BA102014,VALVE INLET GC 1000,,3W,,DIESEL,
BA102017,VALVE EXHAUST GC 100,,3W,,DIESEL,
AL201061,SWITCH CONTROL RH GC,,3W,,DIESEL,
AL171010,BEARING  BALL,,3W,,DIESEL,
AL191001,CABLE GEAR WHITE GC ,,3W,,DIESEL,
AL191003,CABLE GEAR  BLACK GC,,3W,,Diesel,
AL191033,CABLE DECOMPRESSION,,3W,,Diesel,
BA191012,CABLE ACC.RE DIES,,3W,,Diesel,
BA191059,CABLE ENGINE STOP,,3W,,Diesel,
BG551411,PLATE CLUTCH,,3W,,Diesel 445M,
BB151031,BEARING HUB,,3W,,Diesel,
BA111023,STATOR ASSYSINGLE PH,,3W,,Diesel,
BA132211,CLUTCH RELEASE BEARI,,3W,,Diesel,
36AL0003,KIT STEERING CONE GC,,3W,,Diesel,
AL121060,FILTER AIR ASSLY,,3W,,Diesel,
BB133095,ASSLY DRIVE SHAFT LH,,3W,,Diesel,
AL131113,GEAR DIFFERENTIAL,,3W,,Diesel,
BB101092,CAMSHAFT ASSLY,,3W,,Diesel,
BB101095,PISTON ASSLY,,3W,,Diesel,
AL171068,AXLE ASSLY REAR WHEE,,3W,,Diesel,
AL201038,REGULATOR 1PH SERIES,,3W,,Diesel,
AL201034,PUMP FUEL GC1000,,3W,,Diesel,
AL131031,SHAFT MAIN,,3W,,Diesel,
BA102088,COOLER  OIL,,3W,,Diesel,
52BA0147,PISTON ASSY  RE DIES,,3W,,Diesel,
