SKU_CODE,Description,Vertical
00DH15ZZ,PULSAR 150,bajaj
00DJ07ZZ,PULSAR 180,bajaj
00DK04ZZ,PULSAR 220 SF,bajaj
00DZ10ZZ,PLATINA 100 BLACK-NO COLOR,bajaj
00DZ12ZZ,PLATINA 100 WITH SPOKE WHEELS,bajaj
00JL02ZZ,PULSAR 200 NS,bajaj
00JD02ZZ,PULSAR 135 LS,bajaj
00PA09ZZ,DISCOVER 100 4G ES,bajaj
00PD01ZZ,AVENGER 220,bajaj
00JU06ZZ,KTM DUKE 200,bajaj
00PA13ZZ,DISCOVER 100 M-DRUM,bajaj
00PA19ZZ,DISCOVER 100 M-DISC,bajaj
00JG08ZZ,KTM DUKE 390,bajaj
00JZ14ZZ,DISCOVER 150 S DISC,bajaj
00JZ16ZZ,DISCOVER 150 F DISC,bajaj
00JZ19ZZ,DISCOVER 150 S DRUM,bajaj
00PF08ZZ,PLATINA 100 ES,bajaj
00PF09ZZ,PLATINA 100 KS,bajaj
00JY06ZZ,KTM RC 200 DOMESTIC,bajaj
00JY10ZZ,KTM RC 390 DOMESTIC,bajaj
00PA15ZZ,DISCOVER 125 M-DISC,bajaj
00PA16ZZ,DISCOVER 125 M-DRUM,bajaj
002424ZZ,RE Compact PETROL,bajajcv
002430ZZ,RE Compact PETROL ES,bajajcv
00AA17ZZ,RE Compact PETROL 4S,bajajcv
00AF10ZZ,RE Compact CNG 4S,bajajcv
00AG05ZZ,RE Compact LPG,bajajcv
00AG07ZZ,RE Compact LPG ES,bajajcv
00AM09ZZ,RE Compact LPG 4S,bajajcv
00AS05ZZ,RE Compact CNG,bajajcv
00AS07ZZ,RE Compact CNG ES,bajajcv
00AZ02ZZ,RE Optima CNG,bajajcv
00BA07ZZ,RE Compact DIESEL,bajajcv
00BA08ZZ,RE Compact DIESEL TWIN HL,bajajcv
00BB07ZZ,RE Maxima DIESEL,bajajcv
00BH03ZZ,RE Optima DIESEL,bajajcv
00RA03ZZ,RE Optima LPG,bajajcv
00JU06ZZ,DUKE 200,probiking
00JG08ZZ,DUKE 390,probiking
00JY06ZZ,RC200,probiking
00JY10ZZ,RC390,probiking
