id,bom_number,part_number,revision_number,quantity,uom,valid_from,valid_to,plate_id,plate_txt,serial_number,change_number,change_number_to,item,item_id
1263,248248,1100342,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,1,1
1264,248248,1110609,0,1,EA,2013-04-08,2013-04-08,,,,SWA10080413,,2,2
1265,248248,1160509,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,3,3
1266,248248,1160717,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,4,4
1267,248248,1180123,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,5,5
1268,248248,1190115,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,6,6
1269,248248,1200213,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,7,7
1270,248248,3100718,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,8,8
1271,248248,3150207,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,9,9
1272,248248,3190204,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,10,10
1273,248248,5101051,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,11,11
1274,248248,6191089,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,12,12
1275,248248,6201083,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,13,13
1276,248248,15101011,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,14,14
1277,248248,19101016,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,15,15
1278,248248,19101017,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,16,16
1279,248248,19101018,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,17,17
1280,248248,19101019,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,18,18
1281,248248,19101020,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,19,19
1282,248248,20101020,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,20,20
1283,248248,21150307,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,21,21
1284,248248,21150422,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,22,22
1285,248248,21180207,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,23,23
1286,248248,21180307,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,24,24
1287,248248,21180308,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,25,25
1288,248248,22131014,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,26,26
1289,248248,22150507,0,1,EA,2013-04-08,2013-04-08,,,,SWA10080413,,27,27
1290,248248,22151046,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,28,28
1291,248248,22151068,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,29,29
1292,248248,22151106,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,30,30
1293,248248,22161221,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,31,31
1294,248248,22170115,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,32,32
1295,248248,22170118,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,33,33
1296,248248,22170434,0,1,EA,2013-04-08,9999-12-31,,,,SWA10080413,,34,34
