id,bom_number,part_number,revision_number,quantity,uom,valid_from,valid_to,plate_id,plate_txt,serial_number,change_number,change_number_to,item,item_id
1,211760,15161069,0,1,EA,2010-12-01,9999-12-31,44,Chain Case,,SCH01011210,,1,1
2,211760,22150451,0,2,EA,2010-12-01,9999-12-31,27,Rider Foot Rest,,SCH01011210,,2,2
3,211760,30101061,0,1,EA,2010-12-01,9999-12-31,8,Transmission,,SCH01011210,,3,3
4,211760,30101142,0,1,EA,2010-12-01,9999-12-31,13,Cover RH,,SCH01011210,,4,4
5,211760,30101236,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,5,5
6,211760,30141015,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,6,6
7,211760,30141031,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,7,7
8,211760,30141032,0,4,EA,2010-12-01,9999-12-31,40,Cap Tank & Gauge Fuel,,SCH01011210,,8,8
9,211760,30141052,0,1,EA,2010-12-01,9999-12-31,40,Cap Tank & Gauge Fuel,,SCH01011210,,9,9
10,211760,30141070,0,2,EA,2010-12-01,9999-12-31,40,Cap Tank & Gauge Fuel,,SCH01011210,,10,10
11,211760,30151005,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,11,11
12,211760,30151012,0,1,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,12,12
13,211760,30151033,0,1,EA,2010-12-01,9999-12-31,32,Front Hub,,SCH01011210,,13,13
14,211760,30151069,0,2,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,14,14
15,211760,30151075,0,1,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,15,15
16,211760,30151082,0,1,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,16,16
17,211760,30151095,0,1,EA,2010-12-01,9999-12-31,36,Rear Brake Pedal,,SCH01011210,,17,17
18,211760,30151096,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,18,18
19,211760,30161157,0,1,EA,2010-12-01,9999-12-31,30,Stand Assembly,,SCH01011210,,19,19
20,211760,30181011,0,1,EA,2010-12-01,9999-12-31,25,Frame & Frame Fittings,,SCH01011210,,20,20
21,211760,30181026,0,2,EA,2010-12-01,9999-12-31,38,Front Fork,,SCH01011210,,21,21
22,211760,30181029,0,2,EA,2010-12-01,9999-12-31,38,Front Fork,,SCH01011210,,22,22
23,211760,30191035,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,23,23
24,211760,30191036,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,24,24
25,211760,30191038,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,25,25
26,211760,30191048,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,26,26
27,211760,30201064,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,27,27
