ASM Ticket No,Dealer Code,Dealer Name,City,Rg,tickets
18271,10327,SAI AUTOMOBILES,BELLARY,KAR,#N/A
18271,10328,SITARA MOTORS PVT.LTD,MARGAO,GDD,#N/A
18271,10811,JAGAJAMPI AUTO PVT LTD,BELGAUM,KAR,#N/A
18271,10862,CHANNAMMA MOTORS,HUBLI,KAR,#N/A
18271,11042,SAI AUTOMOBILES,RAICHUR,KAR,#N/A
18271,11046,VKG BAJAJ,GULBARGA,KAR,#N/A
18271,11396,SITARA MOTORS PVT LTD,PANJI,GDD,#N/A
18271,11427,JAGAJAMPI AUTO PVT LTD,GOKAK,KAR,#N/A
18271,11430,JAGAJAMPI AUTO PVT LT,CHIKODI,KAR,#N/A
18271,11437,CHANNAMMA AUTOMOBILES,GADAG,KAR,#N/A
18271,11621,JAI BHAVANI MOTORS,BIDAR,KAR,#N/A
18271,11703,SHREE KAMAKSHI BAJAJ,KOLAR,KAR,#N/A
18271,10118,ARPITA AUTOMOBILES CO.,HASSAN,KAR,#N/A
18271,10630,JAIRAM BAJAJ,CHITRADURGA,KAR,#N/A
18271,10936,JAIN MOTORS,DAVANGARE,KAR,#N/A
55522,10502,ZAIN MOTORS,KASARGOD,KER,#N/A
55522,11971,KVR BIKES,TIRUR,KER,#N/A
55522,11322,JKB MOTORS,ALWAYE,KER,#N/A
55522,10480,POPULAR MOTOR CORPORATION,COCHIN,KER,#N/A
55522,10816,POPULAR MOTOR CORPORATION,ALAPUZHA,KER,#N/A
55522,10839,ROYAL MOTORS,THODUPUZHA,KER,#N/A
55522,11207,SARATHY MOTORS,QUILON,KER,#N/A
55522,11491,KALLINGAL AUTOMOBILES,NEDUMANGAD,KER,#N/A
55522,11729,ESHTA MOTORS PVT LTD,COCHIN,KER,#N/A
55522,10196,K.V.R.MOTORS,CALICUT,KER,#N/A
25043,10370,TIRHUT AUTOMOBILES.,MUZAFFARPUR,BH,#N/A
25043,10923,JAGAT  AUTOMOBILES,MOTIHARI,BH,#N/A
25043,11136,ANANTA BAJAJ,SAMASTIPUR,BH,#N/A
25043,11351,SHREE RAM MOTORS,SITAMARHI,BH,#N/A
25043,11516,PREM AUTOMOBILES,BETTIAH,BH,#N/A
25043,11518,EXCEL AUTO,PATNA,BH,#N/A
25043,11533,SHREE MUNDRIKA AUTO,GOPALGANJ,BH,#N/A
25043,11912,AKARSH AUTO PVT LTD,PATNA,BH,#N/A
32641,10047,BAGGA LINK SERVICE LTD.,NEW DELHI,DEL,#N/A
32641,10124,FAIRDEAL  AUTOMOBILES,NEW DELHI,DEL,#N/A
32641,10274,RAJIV AUTOMOBILES,NEW DELHI,DEL,#N/A
32641,10549,J S AUTOMOBILES,DELHI,DEL,#N/A
