Dlr Code,Dealer Name,City,State Code,State,DFSC Process  Status
10001,ARUN AUTOMOBILES,NAGPUR,MAH,Maharashtra,Implemented
10008,AUTO INDIA,SANGLI,MAH,Maharashtra,
10177,KUSHAL AUTO PVT. LTD.,AMRAVATI,MAH,Maharashtra,
10187,K.P.MUTHA SALES & SERVICE,PARBHANI,MAH,Maharashtra,
10257,PAGARIYA AUTO CENTRE,JALGAON,MAH,Maharashtra,
10268,PAGARIYA AUTO CENTRE,AURANGABAD,MAH,Maharashtra,Implemented
10287,RAJYOG BAJAJ,LATUR,MAH,Maharashtra,
10369,SAI SERVICE STATION LTD,PUNE,MAH,Maharashtra,
10375,SHIRODE AUTOMOBILES PVT.LTD.,KOPARGAON,MAH,Maharashtra,
10389,SHRINIWAS MOTORS,WARDHA,MAH,Maharashtra,
10396,UJWAL ENTERPRISES (INDIA) PVT.LTD,NANDED,MAH,Maharashtra,
10432,WASAN & SONS,NASHIK,MAH,Maharashtra,Implemented
10447,RAMANI MOTORS,GONDIA,MAH,Maharashtra,
10473,SURYODAY MOTORS,Vasai,MAH,Maharashtra,
10495,AMBRISH AUTOMOBILES,JALNA,MAH,Maharashtra,
10632,GEMS AUTOMOBILES PVT LTS.,PUNE,MAH,Maharashtra,
10694,CHHATRAPATI MOTORS PVT LTD,AHMEDNAGAR,MAH,Maharashtra,
10725,FUTURISTIC MOTOR DEALER PVT LTD,KUDAL,MAH,Maharashtra,
10753,HIMALAYA BAJAJ,YAVATMAL,MAH,Maharashtra,
10760,ASHWINI MOTORS PVT LTD,CHIPLUN,MAH,Maharashtra,
10852,SURYODAYA MOTORS P LTD.,MIRA ROAD  THANE,MAH,Maharashtra,
10902,AHERKAR AUTOMOBILES,SOLAPUR,MAH,Maharashtra,
10947,SWASTIK BAJAJ,BEED,MAH,Maharashtra,
10952,JAIHIND TRADING COMPANY,NARAYANGAON TAL JUNNER,MAH,Maharashtra,
11008,SARBANI MOTORS,CHANDRAPUR,MAH,Maharashtra,
11048,ASHOK AGRO INPUTS PVT LTD,SILLOD,MAH,Maharashtra,
11206,ROYAL MOTORS,DHULE,MAH,Maharashtra,
11214,PATNI AUTOMOBILES,NAGPUR,MAH,Maharashtra,
11215,PATNI AUTOMOBILES,BUTIBORI-DIST -NAGPUR,MAH,Maharashtra,
11216,MAYUR WHEELS,MALEGAON,MAH,Maharashtra,
11266,RAJYOG AUTOMOBILES,KARAD,MAH,Maharashtra,
11267,PANDURANG AUTOMOTIVES,PANDHARPUR,MAH,Maharashtra,Implemented
11272,KANCHAN AUTO PVT LTD.,ULHASNAGAR,MAH,Maharashtra,Implemented
11278,GOENKA MOTORBIKES,AKOLA,MAH,Maharashtra,
11331,KANSE AUTOLINES,SATARA,MAH,Maharashtra,
11333,GURU GOBIND AUTOMOBILES,PANVEL,MAH,Maharashtra,
11381,ASHOK AGRO INPUTS PVT LTD,BULDHANA,MAH,Maharashtra,
11411,GIRIRAJ ENTERPRISES,SANGAMNER,MAH,Maharashtra,Implemented
11421,SONAI BAJAJ,INDAPUR,MAH,Maharashtra,
11431,HERAMMBA AUTO,CHALISGAON,MAH,Maharashtra,
11448,GURU GOBIND AUTOMOBILES,ALIBAG,MAH,Maharashtra,
11480,I RIDE ENTERPRISES PVT LTD,NAGPUR,MAH,Maharashtra,
11493,SHIRODE AUTOMOBILES PVT LTD,SHRIRAMPUR,MAH,Maharashtra,
11507,RAJYOG  BAJAJ,OSMANABAD,MAH,Maharashtra,
11543,WASAN & SONS,NASHIK,MAH,Maharashtra,
11577,KADAM  AUTOLINES,KOLAHPUR,MAH,Maharashtra,
11581,KRISHNA MOTORS,PUNE,MAH,Maharashtra,
11612,AARYAN  MOTORS,BHANDARA,MAH,Maharashtra,
11616,SARBANI  MOTORS,GADCHIROLI,MAH,Maharashtra,
11690,RUSHI AUTOMOBILES,NANDURBAR,MAH,Maharashtra,
11742,MAHALAXMI BAJAJ,BARSHI,MAH,Maharashtra,
11763,KADE AUTOMOBILES,SOLAPUR,MAH,Maharashtra,
11788,ANMOL AUTOMOBILES PVT LTD,BOISER,MAH,Maharashtra,
11793,HOLEYDAYS  AUTO SERVICE,TALEGAON DABHADE,MAH,Maharashtra,
11794,BADSHAH  BAJAJ,ICHALKARANJI,MAH,Maharashtra,
11802,KANASE AUTOMOBILES,MIRAJ,MAH,Maharashtra,
11812,EXECUTIVE MOTORS PRIVATE LIMITED,MALAD - WEST,MAH,Maharashtra,
11863,SALASAR MULTITRADE PVT LTD,BHIWANDI,MAH,Maharashtra,
11887,KAMAL MOTORS,PHALTAN,MAH,Maharashtra,
11888,KAMAL MOTORS,BARAMATI,MAH,Maharashtra,
11911,LAXMI AUTO,CHANDRAPUR,MAH,Maharashtra,
12029,SHOURYA BAJAJ,NIPHAD,MAH,Maharashtra,
12061,KRISHNA AUTOMOBILES,PUNE,MAH,Maharashtra,
