id,bom_number,part_number,revision_number,quantity,uom,valid_from,valid_to,plate_id,plate_txt,serial_number,change_number,change_number_to,item,item_id,sku_code
1,211760,15161069,0,1,EA,2010-12-01,9999-12-31,44,Chain Case,,SCH01011210,,1,1,00DH15ZZ
2,211760,22150451,0,2,EA,2010-12-01,9999-12-31,27,Rider Foot Rest,,SCH01011210,,2,2,00DH15ZZ
3,211760,30101061,0,1,EA,2010-12-01,9999-12-31,8,Transmission,,SCH01011210,,3,3,00DH15ZZ
4,211760,30101142,0,1,EA,2010-12-01,9999-12-31,13,Cover RH,,SCH01011210,,4,4,00DH15ZZ
5,211760,30101236,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,5,5,00DH15ZZ
6,211760,30141015,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,6,6,00DH15ZZ
7,211760,30141031,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,7,7,00DH15ZZ
8,211760,30141032,0,4,EA,2010-12-01,9999-12-31,40,Cap Tank & Gauge Fuel,,SCH01011210,,8,8,00DH15ZZ
9,211760,30141052,0,1,EA,2010-12-01,9999-12-31,40,Cap Tank & Gauge Fuel,,SCH01011210,,9,9,00DH15ZZ
10,211760,30141070,0,2,EA,2010-12-01,9999-12-31,40,Cap Tank & Gauge Fuel,,SCH01011210,,10,10,00DH15ZZ
11,211760,30151005,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,11,11,00DH15ZZ
12,211760,30151012,0,1,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,12,12,00DH15ZZ
13,211760,30151033,0,1,EA,2010-12-01,9999-12-31,32,Front Hub,,SCH01011210,,13,13,00DH15ZZ
14,211760,30151069,0,2,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,14,14,00DH15ZZ
15,211760,30151075,0,1,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,15,15,00DH15ZZ
16,211760,30151082,0,1,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,16,16,00DH15ZZ
17,211760,30151095,0,1,EA,2010-12-01,9999-12-31,36,Rear Brake Pedal,,SCH01011210,,17,17,00DH15ZZ
18,211760,30151096,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,18,18,00DH15ZZ
19,211760,30161157,0,1,EA,2010-12-01,9999-12-31,30,Stand Assembly,,SCH01011210,,19,19,00DH15ZZ
20,211760,30181011,0,1,EA,2010-12-01,9999-12-31,25,Frame & Frame Fittings,,SCH01011210,,20,20,00DH15ZZ
21,211760,30181026,0,2,EA,2010-12-01,9999-12-31,38,Front Fork,,SCH01011210,,21,21,00DH15ZZ
22,211760,30181029,0,2,EA,2010-12-01,9999-12-31,38,Front Fork,,SCH01011210,,22,22,00DH15ZZ
23,211760,30191035,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,23,23,00DH15ZZ
24,211760,30191036,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,24,24,00DH15ZZ
25,211760,30191038,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,25,25,00DH15ZZ
26,211760,30191048,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,26,26,00DH15ZZ
27,211760,30201064,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,27,27,00DH15ZZ
28,211760,30211005,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,28,28,00DH15ZZ
29,211760,31101108,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,29,29,00DH15ZZ
30,211760,31101173,0,1,EA,2010-12-01,9999-12-31,6,Crankshaft,,SCH01011210,,30,30,00DH15ZZ
31,211760,31121006,0,4,EA,2010-12-01,9999-12-31,5,Cylinder & Piston,,SCH01011210,,31,31,00DH15ZZ
32,211760,31161018,0,2,EA,2010-12-01,9999-12-31,41,"Fittings Petrol Tank, Side Cvoer & Cover",,SCH01011210,,32,32,00DH15ZZ
33,211760,31201079,0,1,EA,2010-12-01,9999-12-31,48,Electrical Equipments,,SCH01011210,,33,33,00DH15ZZ
34,211760,31201081,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,34,34,00DH15ZZ
35,211760,35171033,0,2,EA,2010-12-01,9999-12-31,26,Swing arm & Rear Shock Absorber,,SCH01011210,,35,35,00DH15ZZ
36,211760,39008004,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,36,36,00DH15ZZ
37,211760,39019811,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,37,37,00DH15ZZ
38,211760,39021111,0,2,EA,2010-12-01,9999-12-31,29,Mudguard - Front & Rear,,SCH01011210,,38,38,00DH15ZZ
39,211760,39024811,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,39,39,00DH15ZZ
40,211760,39029615,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,40,40,00DH15ZZ
41,211760,39042215,0,1,EA,2010-12-01,9999-12-31,30,Stand Assembly,,SCH01011210,,41,41,00DH15ZZ
42,211760,39045411,0,2,EA,2010-12-01,9999-12-31,26,Swing arm & Rear Shock Absorber,,SCH01011210,,42,42,00DH15ZZ
43,211760,39055302,0,2,EA,2010-12-01,9999-12-31,26,Swing arm & Rear Shock Absorber,,SCH01011210,,43,43,00DH15ZZ
44,211760,39069415,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,44,44,00DH15ZZ
45,211760,39070501,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,45,45,00DH15ZZ
46,211760,39070815,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,46,46,00DH15ZZ
47,211760,39071215,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,47,47,00DH15ZZ
48,211760,39072211,0,1,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,48,48,00DH15ZZ
49,211760,39073817,0,2,EA,2010-12-01,9999-12-31,16,Kick Starter Mechanism,,SCH01011210,,49,49,00DH15ZZ
50,211760,39074011,0,2,EA,2010-12-01,9999-12-31,26,Swing arm & Rear Shock Absorber,,SCH01011210,,50,50,00DH15ZZ
51,211760,39075201,0,3,EA,2010-12-01,9999-12-31,12,Crankcase LH,,SCH01011210,,51,51,00DH15ZZ
52,211760,39078111,0,1,EA,2010-12-01,9999-12-31,32,Front Hub,,SCH01011210,,52,52,00DH15ZZ
53,211760,39079415,0,6,EA,2010-12-01,9999-12-31,35,Rear Hub,,SCH01011210,,53,53,00DH15ZZ
54,211760,39080708,0,1,EA,2010-01-22,9999-12-31,,,,SCH01220110,,54,54,00DH15ZZ
